nama,profile_url,departemen,sinta_id,hindex_scopus,hindex_gs,sinta_score_3yr,sinta_score,affil_score_3yr,affil_score
RINO ADIBOWO,https://sinta.kemdiktisaintek.go.id/authors/profile/6035483,Ilmu Pemerintahan (S1),6035483,0,0,33,403,33,403
SUTONO,https://sinta.kemdiktisaintek.go.id/authors/profile/258558,Sistem Komputer (S1),258558,1,0,31,418,31,418
AELINA SURYA,https://sinta.kemdiktisaintek.go.id/authors/profile/6711698,Ilmu Hubungan Internasional (S1),6711698,0,1,30,61,30,61
YASMI AFRIZAL,https://sinta.kemdiktisaintek.go.id/authors/profile/6005290,Sistem Informasi (S1),6005290,1,3,30,216,30,216
MERLINA FATIMAH NASRUDDIN,https://sinta.kemdiktisaintek.go.id/authors/profile/6183101,Desain Komunikasi Visual (S1),6183101,0,2,27,66,27,66
IYAN GUSTIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/5986858,Sistem Informasi (S1),5986858,2,5,23,348,23,348
USEP MOHAMAD ISHAQ,https://sinta.kemdiktisaintek.go.id/authors/profile/6006007,Sistem Komputer (S1),6006007,1,4,23,322,23,322
MOHAMAD DONIE AULIA,https://sinta.kemdiktisaintek.go.id/authors/profile/5998802,Teknik Sipil (S1),5998802,0,7,21,231,21,231
AYU PRATIWI ULFAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6783889,Sistem Informasi (S1),6783889,0,0,20,23,20,23
BUDI MULYANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6006635,Ilmu Hubungan Internasional (S1),6006635,0,2,20,107,20,107
YUNI DAHLIA YOSEPHA MOGOT,https://sinta.kemdiktisaintek.go.id/authors/profile/6738681,Ilmu Komunikasi (S1),6738681,0,2,20,50,20,50
NINA KURNIA HIKMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803417,Sistem Informasi (S1),6803417,3,5,18,151,18,151
SURYATNO W SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6804795,Unknown,6804795,0,0,15,32,15,32
TRI RAHAJOENINGROEM,https://sinta.kemdiktisaintek.go.id/authors/profile/259224,Teknik Elektro (S1),259224,1,9,11,212,11,212
THERESIA VALENTINA LUMBAN GAOL,https://sinta.kemdiktisaintek.go.id/authors/profile/6802923,Unknown,6802923,2,4,10,203,10,203
GERALDI CATUR PAMUJI,https://sinta.kemdiktisaintek.go.id/authors/profile/6918009,Unknown,6918009,0,4,10,28,10,28
YUDISTIRA SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6802984,Sistem Informasi (S1),6802984,0,2,9,13,9,13
SAFUTRA RANTONA,https://sinta.kemdiktisaintek.go.id/authors/profile/6711079,Ilmu Komunikasi (S1),6711079,0,0,8,34,8,34
RIA FATHYA LUQMAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6860170,Desain Komunikasi Visual (S1),6860170,0,1,6,17,6,17
NILUH AYU ANGGASWARI,https://sinta.kemdiktisaintek.go.id/authors/profile/6908316,Ilmu Komunikasi (S1),6908316,0,2,6,6,6,6
FALDERIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/6748057,Teknik Sipil (S1),6748057,0,0,2,35,2,35
AHADIAT JOEDAWINATA,https://sinta.kemdiktisaintek.go.id/authors/profile/6048481,Desain (S2),6048481,0,3,2,26,2,26
WIM TOHARI DANIEALDI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803507,Ilmu Hubungan Internasional (S1),6803507,0,1,2,11,2,11
GANJAR MIFTAHUDDIN,https://sinta.kemdiktisaintek.go.id/authors/profile/6860169,Desain Komunikasi Visual (S1),6860169,0,1,2,3,2,3
PRITHA FITRIA NATASHA BEKTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6962506,Desain Komunikasi Visual (S1),6962506,0,1,1,2,1,2
ARIES SETIAWAN SATRIO NUGROHO,https://sinta.kemdiktisaintek.go.id/authors/profile/6988065,Desain Komunikasi Visual (S1),6988065,0,0,1,1,1,1
DHIKA MEGA PRATAMA,https://sinta.kemdiktisaintek.go.id/authors/profile/6987575,Desain Komunikasi Visual (S1),6987575,0,0,1,3,1,3
ANTO PURWANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6685177,Unknown,6685177,0,1,0,6,0,6
LIA YULIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6736482,Keuangan Dan Perbankan (D3),6736482,0,0,0,1,0,1
ERICK WIJAYA,https://sinta.kemdiktisaintek.go.id/authors/profile/258862,Unknown,258862,0,0,0,3,0,3
SANGRA JULIANO PRAKASA,https://sinta.kemdiktisaintek.go.id/authors/profile/259202,Ilmu Komunikasi (S1),259202,0,0,0,26,0,26
MAMAN KUSMAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6029164,Unknown,6029164,0,4,0,35,0,35
NANG PRIMADI TABRANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6048459,Unknown,6048459,0,11,0,133,0,133
RISKA SRI RAHMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/5978448,Unknown,5978448,0,0,0,3,0,3
KANI MAHARDIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/6084709,Teknik Perencanaan Wilayah Dan Kota (S1),6084709,0,2,0,59,0,59
KEN KINANTI PURNAMASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5990453,Teknik Informatika (S1),5990453,1,0,0,100,0,100
DEASY PERMATASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5999425,Manajemen Informatika (D3),5999425,0,4,0,121,0,121
LINDA MEGA SILVIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6746292,Desain Komunikasi Visual (S1),6746292,0,0,0,3,0,3
ANNISA SUCI RAMADANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6756099,Unknown,6756099,0,0,0,1,0,1
RANGGA GELAR GUNTARA,https://sinta.kemdiktisaintek.go.id/authors/profile/6005253,Unknown,6005253,2,0,0,75,0,75
RIFIATI SAFARIAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6006916,Teknik Perencanaan Wilayah Dan Kota (S1),6006916,1,1,0,55,0,55
DEDDY KURNIAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6035415,Unknown,6035415,0,1,0,4,0,4
ACHMAD DEPTIAN DJENUARI RIZKY,https://sinta.kemdiktisaintek.go.id/authors/profile/6987572,Desain Komunikasi Visual (S1),6987572,0,2,0,14,0,14
SUBARNA,https://sinta.kemdiktisaintek.go.id/authors/profile/6048499,Desain (S2),6048499,0,1,0,6,0,6
HADI KUSUMAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6716068,Unknown,6716068,0,0,0,0,0,0
NENDEN RIKMA DEWI,https://sinta.kemdiktisaintek.go.id/authors/profile/6004137,Unknown,6004137,0,1,0,21,0,21
RIZALUL KALAM,https://sinta.kemdiktisaintek.go.id/authors/profile/6763305,Unknown,6763305,0,1,0,5,0,5
TATANG SUHERI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005040,Teknik Perencanaan Wilayah Dan Kota (S1),6005040,1,0,0,159,0,159
UTAMI DEWI WIDIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005151,Unknown,6005151,2,7,0,147,0,147
ARINITA SANDRIA,https://sinta.kemdiktisaintek.go.id/authors/profile/6006394,Ilmu Hukum (S1),6006394,0,0,0,68,0,68
MUHAMMAD AKSAN IPAENIN,https://sinta.kemdiktisaintek.go.id/authors/profile/6981081,Unknown,6981081,0,0,0,0,0,0
WIRA MAHARDIKA PUTRA,https://sinta.kemdiktisaintek.go.id/authors/profile/5974595,Unknown,5974595,0,1,0,5,0,5
AMILIA WIDYA,https://sinta.kemdiktisaintek.go.id/authors/profile/6988611,Unknown,6988611,0,0,0,0,0,0
HERI GUNAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6088457,Ilmu Hukum (S1),6088457,0,0,0,4,0,4
